orf,gene,ThisStudy,Li2019,Dokladal2021,Baro2018,Plank_Cdc55AID,n_published
YGR149W,NA,0,0,0,1,0,1
YGR159C,NSR1,0,1,0,0,0,1
YGR161C,RTS3,0,0,0,1,0,1
YGR191W,HIP1,0,0,1,0,0,1
YGR192C,NA,0,0,0,0,1,1
YGR202C,PCT1,0,1,0,0,0,1
YGR206W,MVB12,0,0,0,1,0,1
YGR217W,NA,0,0,0,0,1,1
YGR229C,SMI1,0,0,0,1,0,1
YGR237C,NA,0,0,0,0,1,1
YGR238C,KEL2,0,0,0,1,0,1
YGR240C,NA,0,0,0,1,0,1
YGR244C,LSC2,0,0,0,1,0,1
YGR263C,SAY1,0,0,1,0,0,1
YGR281W,NA,0,0,0,1,0,1
YGR285C,NA,0,0,0,1,0,1
YHL003C,NA,0,0,0,0,1,1
YHL025W,SNF6,0,0,0,1,0,1
YHR016C,NA,0,0,0,1,0,1
YHR036W,BRL1,0,0,0,1,0,1
YHR040W,NA,0,0,0,1,0,1
YHR064C,SSZ1,0,0,0,1,0,1
YHR073W,NA,0,0,0,1,0,1
YHR084W,STE12,0,0,0,1,0,1
YHR090C,YNG2,0,0,1,0,0,1
YHR094C,HXT1,0,0,0,1,0,1
YHR097C,YHR097C,0,0,0,1,0,1
YHR098C,NA,0,0,0,1,0,1
YHR099W,TRA1,0,0,0,1,0,1
YHR102W,NA,0,0,0,0,1,1
YHR103W,NA,0,0,0,0,1,1
YHR107C,CDC12,0,0,0,1,0,1
YHR119W,NA,0,0,0,1,0,1
YHR135C,NA,0,0,0,1,0,1
YHR154W,RTT107,0,0,0,1,0,1
YIL003W,NA,0,0,0,1,0,1
YIL036W,CST6,0,0,0,1,0,1
YIL047C,NA,0,0,0,0,1,1
YIL050W,PCL7,0,0,0,1,0,1
YIL055C,YIL055C,0,0,0,1,0,1
YIL107C,PFK26,0,0,0,1,0,1
YIL115C,NUP159,0,0,0,1,0,1
YIL126W,STH1,0,0,0,1,0,1
YIL135C,VHS2,0,0,0,1,0,1
YIL138C,TPM2,0,1,0,0,0,1
YIL140W,AXL2,0,0,0,1,0,1
YIL144W,NDC80,0,1,0,0,0,1
YIL153W,NA,0,0,0,1,0,1
YIL161W,YIL161W,0,0,1,0,0,1
YIR003W,AIM21,0,0,0,1,0,1
YIR033W,MGA2,0,0,0,1,0,1
YJL010C,NA,0,0,0,1,0,1
YJL020C,BBC1,0,0,0,1,0,1
YJL029C,NA,0,0,0,1,0,1
YJL039C,NA,0,0,0,1,0,1
YJL041W,NSP1,0,0,0,1,0,1
YJL042W,NA,0,0,0,1,0,1
YJL051W,IRC8,0,0,0,1,0,1
YJL053W,NA,0,0,0,0,1,1
YJL055W,YJL055W,0,0,0,1,0,1
YJL058C,NA,0,0,0,1,0,1
YJL070C,YJL070C,0,0,0,1,0,1
YJL080C,SCP160,0,0,0,1,0,1
YJL095W,BCK1,0,0,0,1,0,1
YJL123C,NA,0,0,0,1,0,1
