nutrient,Gene names,Protein IDs,data,term,estimate,std.error,statistic,p.value,qvalue
P,ERG26,P53199,ratio,samplingTime,-0.05577492910987252,0.008833501585300512,-6.314022652430993,3.6583221455486156e-6,1.5041717838691096e-5
P,ERG26,P53199,ratio,genotypeWT,-0.14201805158826103,0.21565325676528507,-0.6585481421355585,0.5176961373511131,0.5579826464684697
P,ERG26,P53199,ratio,samplingTime:genotypeWT,-0.01554469036998682,0.012492457745176221,-1.2443260315200324,0.22776535780682383,0.3254096689722164
P,ERG27,Q12452,intensity,(Intercept),28.653593832567644,0.3766592283489203,76.07299032117231,4.143683863724398e-26,2.4815777945639766e-25
P,ERG27,Q12452,intensity,samplingTime,-0.09709856831715336,0.02181928325618045,-4.450126394030361,2.4573821847091726e-4,8.088265216951541e-4
P,ERG27,Q12452,intensity,genotypeWT,-0.05465709708118986,0.5326765891240277,-0.10260840854874434,0.9192956169265258,0.6720381885599565
P,ERG27,Q12452,intensity,samplingTime:genotypeWT,-0.01764210498090908,0.030857126302150588,-0.5717351903790053,0.5738716302759475,0.585933451656222
P,ERG27,Q12452,normed_intensity,(Intercept),28.1298340283043,0.15908227415644302,176.82569712726857,2.0078912441739112e-33,4.709691579916413e-32
P,ERG27,Q12452,normed_intensity,samplingTime,-0.04689247120828984,0.00921538871109604,-5.0884962835943846,5.609795964605071e-5,2.0400604527679895e-4
P,ERG27,Q12452,normed_intensity,genotypeWT,-0.06162407647989743,0.22497630964519666,-0.2739136248482469,0.786959996564953,0.6528226411652432
P,ERG27,Q12452,normed_intensity,samplingTime:genotypeWT,-0.01095121944038062,0.013032527697771938,-0.8402989576805472,0.41067431353380457,0.4896056949118385
P,ERG27,Q12452,normed_ratio,(Intercept),-0.19273715176943304,0.12447526363438911,-1.5483972167799052,0.13720577172852017,0.21870989142069658
P,ERG27,Q12452,normed_ratio,samplingTime,-0.022637244361387886,0.007210658418039684,-3.1394143293147607,0.005161627683524542,0.01287376579649204
P,ERG27,Q12452,normed_ratio,genotypeWT,-8.934204640365846e-5,0.1760346060117196,-5.075254714275355e-4,0.9996000815326265,0.6761612882085569
P,ERG27,Q12452,normed_ratio,samplingTime:genotypeWT,-0.009428618600239226,0.01019741092843145,-0.924609066596625,0.3661915402198447,0.45637008722155575
P,ERG27,Q12452,ratio,(Intercept),-0.25276653826553613,0.1993019206637962,-1.268259419797212,0.21927032971855956,0.3165677139484569
P,ERG27,Q12452,ratio,samplingTime,-0.04715088000294279,0.011545250277090784,-4.084006744877951,5.78045361692377e-4,0.0017711577669607163
P,ERG27,Q12452,ratio,genotypeWT,-0.05417043476364378,0.2818554792097472,-0.19219223594845214,0.8495296490844667,0.6645718167269921
P,ERG27,Q12452,ratio,samplingTime:genotypeWT,-0.017518212163108973,0.016327449522853525,-1.0729301069703958,0.29607840212338654,0.39475806691825555
P,ERG4,P25340,intensity,(Intercept),26.64149695504144,0.5084944751221503,52.39289364676309,6.930361070715113e-23,3.4104748961976565e-22
P,ERG4,P25340,intensity,samplingTime,-0.09061850626825996,0.029456294050002947,-3.0763715936034695,0.005955317819470653,0.014643930029735028
P,ERG4,P25340,intensity,genotypeWT,0.21230339811782742,0.7191197831095335,0.29522675234967105,0.7708636822882718,0.648759779356328
P,ERG4,P25340,intensity,samplingTime:genotypeWT,-0.04851335084584707,0.04165749054276408,-1.1645768915447514,0.2578941005108253,0.3564253915342688
P,ERG4,P25340,normed_intensity,(Intercept),26.117737150778055,0.36017118020294075,72.5147890402054,1.0765378857119148e-25,6.1876641607947365e-25
P,ERG4,P25340,normed_intensity,samplingTime,-0.04041240915939598,0.020864156271994616,-1.936929949745461,0.0670092096877276,0.1206701282980038
P,ERG4,P25340,normed_intensity,genotypeWT,0.20533641871913458,0.5093589678189229,0.4031271297693765,0.6911317216671868,0.6301572064150485
P,ERG4,P25340,normed_intensity,samplingTime:genotypeWT,-0.0418224653053191,0.029506372767326466,-1.4174044920774103,0.17175600428171747,0.26166531212634686
P,ERG6,P25087,intensity,(Intercept),32.04211716094238,0.35560612225653027,90.10563979499643,1.4159884138498866e-27,1.0300392026678484e-26
P,ERG6,P25087,intensity,samplingTime,-0.0690910662842419,0.02059970956548425,-3.3539825435212505,0.003159109156452683,0.008248715912874103
P,ERG6,P25087,intensity,genotypeWT,-0.06399557480494772,0.5029030009580902,-0.12725232238230538,0.9000114339059017,0.6707471613200023
P,ERG6,P25087,intensity,samplingTime:genotypeWT,-0.005675798082472835,0.029132388648454608,-0.1948277620130514,0.8474933061391675,0.6644682289682761
P,ERG6,P25087,normed_intensity,(Intercept),31.51835735667904,0.12602455006775112,250.09696396245565,1.962478323087008e-36,9.564152429056055e-35
P,ERG6,P25087,normed_intensity,samplingTime,-0.01888496917537843,0.007300406171420542,-2.5868381473497815,0.017621123709017816,0.03828896337080068
P,ERG6,P25087,normed_intensity,genotypeWT,-0.07096255420365677,0.17822562789778085,-0.3981613365074325,0.69472962618255,0.6312946911640235
P,ERG6,P25087,normed_intensity,samplingTime:genotypeWT,0.001015087458055713,0.010324333418455177,0.09831990278822281,0.922657004634819,0.6721572433778145
P,ERG6,P25087,normed_ratio,(Intercept),-0.16315117528112574,0.11903986093231225,-1.3705591891937425,0.18570000766935496,0.2782129443647939
P,ERG6,P25087,normed_ratio,samplingTime,-0.02509821472117712,0.006895793993536162,-3.6396410253414135,0.0016309442229690604,0.004553980790334256
P,ERG6,P25087,normed_ratio,genotypeWT,-0.01877265883282881,0.16834778579348317,-0.11151117161622633,0.9123225413604679,0.6716267594727647
P,ERG6,P25087,normed_ratio,samplingTime:genotypeWT,-0.0022009982494614936,0.00975212538898977,-0.22569421143276508,0.8237295942442758,0.6601028170298743
