Protein IDs,Protein names,Gene names,Fasta headers,nutrient,time,pvalue,qvalue,log2FC
P00128,Cytochrome b-c1 complex subunit 7,QCR7,sp|P00128|QCR7_YEAST Cytochrome b-c1 complex subunit 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=QCR7 PE=1 SV=2,C,T00,0.8050057457811426,0.8806718869636685,-0.03532999999999997
P00128,Cytochrome b-c1 complex subunit 7,QCR7,sp|P00128|QCR7_YEAST Cytochrome b-c1 complex subunit 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=QCR7 PE=1 SV=2,C,T06,0.14840792002172382,0.331564518305534,-0.4640500000000001
P00128,Cytochrome b-c1 complex subunit 7,QCR7,sp|P00128|QCR7_YEAST Cytochrome b-c1 complex subunit 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=QCR7 PE=1 SV=2,C,T16,0.10676694114657648,0.2925546312141079,-0.673195
P00128,Cytochrome b-c1 complex subunit 7,QCR7,sp|P00128|QCR7_YEAST Cytochrome b-c1 complex subunit 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=QCR7 PE=1 SV=2,C,T30,0.06693769617480701,0.23634487389044093,-1.065191666666667
P00128,Cytochrome b-c1 complex subunit 7,QCR7,sp|P00128|QCR7_YEAST Cytochrome b-c1 complex subunit 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=QCR7 PE=1 SV=2,P,T00,0.2000015436135515,0.38613157698654454,0.21317544268707977
P00128,Cytochrome b-c1 complex subunit 7,QCR7,sp|P00128|QCR7_YEAST Cytochrome b-c1 complex subunit 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=QCR7 PE=1 SV=2,P,T06,0.9799452213302029,0.9880933518538982,-0.005535536672697905
P00128,Cytochrome b-c1 complex subunit 7,QCR7,sp|P00128|QCR7_YEAST Cytochrome b-c1 complex subunit 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=QCR7 PE=1 SV=2,P,T16,0.010290018431341539,0.09743361202176519,0.3230531143552311
P00128,Cytochrome b-c1 complex subunit 7,QCR7,sp|P00128|QCR7_YEAST Cytochrome b-c1 complex subunit 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=QCR7 PE=1 SV=2,P,T30,0.08489146315390324,0.26456911212718903,0.2322630902666396
P00330,Alcohol dehydrogenase 1,ADH1,sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADH1 PE=1 SV=5,C,T00,0.642333060701759,0.7663271019500625,-0.026986666666666714
P00330,Alcohol dehydrogenase 1,ADH1,sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADH1 PE=1 SV=5,C,T06,0.009367284768502968,0.09371402756791097,-0.21982499999999983
P00330,Alcohol dehydrogenase 1,ADH1,sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADH1 PE=1 SV=5,C,T16,0.06379081077111984,0.23087983587660837,-0.16180499999999998
P00330,Alcohol dehydrogenase 1,ADH1,sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADH1 PE=1 SV=5,C,T30,0.016291613277572267,0.11793028609623644,-0.3331700000000001
P00330,Alcohol dehydrogenase 1,ADH1,sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADH1 PE=1 SV=5,P,T00,0.08308801430663072,0.26167270151163735,-0.0808354241863335
P00330,Alcohol dehydrogenase 1,ADH1,sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADH1 PE=1 SV=5,P,T06,0.14652294299264332,0.3303553165563208,-0.19973589866620967
P00330,Alcohol dehydrogenase 1,ADH1,sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADH1 PE=1 SV=5,P,T16,0.10603790356626698,0.29175966498307165,-0.10021577088803268
P00330,Alcohol dehydrogenase 1,ADH1,sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADH1 PE=1 SV=5,P,T30,0.18434983310739955,0.3701785801183465,-0.10219839097971395
P00358,Glyceraldehyde-3-phosphate dehydrogenase 2,TDH2,sp|P00358|G3P2_YEAST Glyceraldehyde-3-phosphate dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH2 PE=1 SV=3,C,T00,0.8167790206862428,0.8875886610828305,-0.028750000000000053
P00358,Glyceraldehyde-3-phosphate dehydrogenase 2,TDH2,sp|P00358|G3P2_YEAST Glyceraldehyde-3-phosphate dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH2 PE=1 SV=3,C,T06,0.541751031873495,0.6906245993126021,0.05381999999999998
P00358,Glyceraldehyde-3-phosphate dehydrogenase 2,TDH2,sp|P00358|G3P2_YEAST Glyceraldehyde-3-phosphate dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH2 PE=1 SV=3,C,T16,0.16873770098271895,0.35367432968163715,-0.15124666666666675
P00358,Glyceraldehyde-3-phosphate dehydrogenase 2,TDH2,sp|P00358|G3P2_YEAST Glyceraldehyde-3-phosphate dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH2 PE=1 SV=3,C,T30,0.05660578331603632,0.21560006255403313,-0.3665883333333334
P00358,Glyceraldehyde-3-phosphate dehydrogenase 2,TDH2,sp|P00358|G3P2_YEAST Glyceraldehyde-3-phosphate dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH2 PE=1 SV=3,P,T00,0.06077439372958817,0.22539988296017477,-0.1920030587293703
