genotype,Gene names,Protein IDs,data,term,estimate,std.error,statistic,p.value,qvalue
WT,STI1,P15705,ratio,samplingTime:nutrientP,0.010796845975903238,0.010339071552945061,1.0442761635427293,0.3088161261942246,0.2954171485856785
WT,STM1,P39015,intensity,(Intercept),31.330839598834558,0.33256515126904834,94.20962923889645,5.821857773086371e-28,3.920923980783459e-27
WT,STM1,P39015,intensity,samplingTime,-0.06646867191395511,0.019264981953268173,-3.4502327630096303,0.0025302563525923805,0.005306502390917581
WT,STM1,P39015,intensity,nutrientP,-0.09346316062848797,0.47031814729734805,-0.19872327097214473,0.844485446076267,0.5374060939634354
WT,STM1,P39015,intensity,samplingTime:nutrientP,-0.038335036107491616,0.027244798757184763,-1.4070588830237636,0.17476076404341054,0.19546457788519797
WT,STM1,P39015,normed_intensity,(Intercept),30.772512764954392,0.11665124907137839,263.7992564153756,6.75516571070717e-37,3.5406385794051373e-35
WT,STM1,P39015,normed_intensity,samplingTime,0.0025553627046234614,0.006757425423592328,0.37815625692321736,0.7092984198626922,0.4944694576287457
WT,STM1,P39015,normed_intensity,nutrientP,-0.06586311041040455,0.16496977850450523,-0.3992434917926853,0.6939449290845208,0.4885797839226724
WT,STM1,P39015,normed_intensity,samplingTime:nutrientP,-0.050462088076678194,0.009556442680769025,-5.2804259662673365,3.619732726631796e-5,1.1216233131291248e-4
WT,STM1,P39015,normed_ratio,(Intercept),-0.03121806854227311,0.07265191880166569,-0.42969365513244195,0.6720123915756951,0.4807213140330789
WT,STM1,P39015,normed_ratio,samplingTime,-0.005579760062265902,0.0042086126560268305,-1.3257955811817361,0.19985195190103427,0.21582001145286028
WT,STM1,P39015,normed_ratio,nutrientP,-0.10567202713713347,0.10274532890174448,-1.0284849760731,0.3160003951806536,0.30007053720840576
WT,STM1,P39015,normed_ratio,samplingTime:nutrientP,-0.043953864276971906,0.005951877096928197,-7.384874311275142,3.9216820169944697e-7,1.4492694343708756e-6
WT,STM1,P39015,ratio,(Intercept),-0.23062961553583056,0.15849171664368816,-1.4551524863240557,0.16114407645978415,0.18379732594818654
WT,STM1,P39015,ratio,samplingTime,-0.04709923465803687,0.00918117863291384,-5.129976938820212,5.101566577078026e-5,1.5420981423139331e-4
WT,STM1,P39015,ratio,nutrientP,-0.026320861272446816,0.22414113520129736,-0.1174298561877475,0.9076907232523419,0.5542325176897388
WT,STM1,P39015,ratio,samplingTime:nutrientP,-0.0377332527419836,0.01298414734123682,-2.9061017062048586,0.008734211852935464,0.0157571465547343
WT,STO1,P34160,intensity,(Intercept),26.265267943144416,0.4196396954372909,62.59004624377672,2.0187505385506503e-24,9.02296101374369e-24
WT,STO1,P34160,intensity,samplingTime,-0.07622456705153056,0.024309074864353557,-3.1356424494502284,0.005206078107855215,0.010017733314949756
WT,STO1,P34160,intensity,nutrientP,-0.6269990171503158,0.5934601485975317,-1.0565141039917227,0.30332890978943156,0.2918385070327767
WT,STO1,P34160,intensity,samplingTime:nutrientP,-0.0023699750078183903,0.0343782233619117,-0.06893826312281545,0.9457233640027394,0.5634533459776316
