Protein IDs,Protein names,Gene names,Fasta headers,nutrient,time,pvalue,qvalue,log2FC
P00358,Glyceraldehyde-3-phosphate dehydrogenase 2,TDH2,sp|P00358|G3P2_YEAST Glyceraldehyde-3-phosphate dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH2 PE=1 SV=3,P,T00,0.060774394,0.225399883,-0.192003059
P00358,Glyceraldehyde-3-phosphate dehydrogenase 2,TDH2,sp|P00358|G3P2_YEAST Glyceraldehyde-3-phosphate dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH2 PE=1 SV=3,P,T06,0.114614677,0.301708593,-0.650105091
P00358,Glyceraldehyde-3-phosphate dehydrogenase 2,TDH2,sp|P00358|G3P2_YEAST Glyceraldehyde-3-phosphate dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH2 PE=1 SV=3,P,T16,0.228067918,0.414017432,-0.388101164
P00358,Glyceraldehyde-3-phosphate dehydrogenase 2,TDH2,sp|P00358|G3P2_YEAST Glyceraldehyde-3-phosphate dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH2 PE=1 SV=3,P,T30,0.986950666,0.992568977,0.006404499
P00359,Glyceraldehyde-3-phosphate dehydrogenase 3,TDH3,sp|P00359|G3P3_YEAST Glyceraldehyde-3-phosphate dehydrogenase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH3 PE=1 SV=3,C,T00,0.263788338,0.44724767,0.064308333
P00359,Glyceraldehyde-3-phosphate dehydrogenase 3,TDH3,sp|P00359|G3P3_YEAST Glyceraldehyde-3-phosphate dehydrogenase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH3 PE=1 SV=3,C,T06,0.167907502,0.353111776,0.100381667
P00359,Glyceraldehyde-3-phosphate dehydrogenase 3,TDH3,sp|P00359|G3P3_YEAST Glyceraldehyde-3-phosphate dehydrogenase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH3 PE=1 SV=3,C,T16,0.443280122,0.610079766,-0.103871667
P00359,Glyceraldehyde-3-phosphate dehydrogenase 3,TDH3,sp|P00359|G3P3_YEAST Glyceraldehyde-3-phosphate dehydrogenase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH3 PE=1 SV=3,C,T30,0.971241478,0.983124986,-0.003898333
P00359,Glyceraldehyde-3-phosphate dehydrogenase 3,TDH3,sp|P00359|G3P3_YEAST Glyceraldehyde-3-phosphate dehydrogenase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH3 PE=1 SV=3,P,T00,0.588279854,0.726297903,-0.026352485
P00359,Glyceraldehyde-3-phosphate dehydrogenase 3,TDH3,sp|P00359|G3P3_YEAST Glyceraldehyde-3-phosphate dehydrogenase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH3 PE=1 SV=3,P,T06,0.214513997,0.40128581,-0.203483299
P00359,Glyceraldehyde-3-phosphate dehydrogenase 3,TDH3,sp|P00359|G3P3_YEAST Glyceraldehyde-3-phosphate dehydrogenase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH3 PE=1 SV=3,P,T16,0.142346906,0.325971017,-0.17589324
P00359,Glyceraldehyde-3-phosphate dehydrogenase 3,TDH3,sp|P00359|G3P3_YEAST Glyceraldehyde-3-phosphate dehydrogenase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH3 PE=1 SV=3,P,T30,0.569743143,0.712658614,-0.056336504
P00360,Glyceraldehyde-3-phosphate dehydrogenase 1,TDH1,sp|P00360|G3P1_YEAST Glyceraldehyde-3-phosphate dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH1 PE=1 SV=3,C,T00,0.003680948,0.067098381,0.522176667
P00360,Glyceraldehyde-3-phosphate dehydrogenase 1,TDH1,sp|P00360|G3P1_YEAST Glyceraldehyde-3-phosphate dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH1 PE=1 SV=3,C,T06,0.191671658,0.378027154,0.290945
