Protein IDs,Gene names,comparison,condition,term,estimate,std.error,statistic,p.value,qvalue,df
P52910,ACS2,genotype (per nutrient),C,samplingTime:genotypeWT,-0.02968153972279781,0.00832929554913304,-3.5635114095437785,0.00194643295213189,0.00534799795521455,NA
P52910,ACS2,genotype (per nutrient),P,samplingTime:genotypeWT,-0.03007229932618822,0.00511923964159176,-5.874368349913314,9.552622334864553e-6,3.7919357868753376e-5,NA
P60010,ACT1,genotype (per nutrient),C,genotypeWT,0.04518520109873113,0.03304775343227948,1.3672699777103872,0.1867120287954289,0.2793502734665328,NA
P60010,ACT1,genotype (per nutrient),P,genotypeWT,0.0381837566330162,0.07279609333202901,0.524530299433198,0.6056754076156453,0.5992551888409242,NA
P60010,ACT1,genotype (per nutrient),C,samplingTime,0.00302092649504582,0.0013536887256583,2.2316256594194095,0.0372424259307778,0.0735962072141428,NA
P60010,ACT1,genotype (per nutrient),P,samplingTime,-0.00120536686975969,0.00298184416733407,-0.40423536647703334,0.6903297825457235,0.630008955080955,NA
P60010,ACT1,genotype (per nutrient),C,samplingTime:genotypeWT,0.00345672311289916,0.00191440495505752,1.8056384067368332,0.08605055847185779,0.1485925113500546,NA
P60010,ACT1,genotype (per nutrient),P,samplingTime:genotypeWT,-3.946485253816304e-5,0.00421696446232695,-0.00935859263001377,0.992625755676485,0.6760026984810059,NA
P27616,ADE1,genotype (per nutrient),C,genotypeWT,-0.07120755730165404,0.2366953011037435,-0.30084060380414474,0.7666412124215777,0.6477810147120718,NA
P27616,ADE1,genotype (per nutrient),P,genotypeWT,0.03705662381403151,0.3754889327784352,0.09868899075088725,0.9223676491668432,0.6721572433778145,NA
P27616,ADE1,genotype (per nutrient),C,samplingTime,0.03350228412448603,0.00969541730505262,3.4554762389677465,0.00249977914274674,0.00669703353953024,NA
P27616,ADE1,genotype (per nutrient),P,samplingTime,0.01943622011490318,0.01538062597668611,1.2636819947617552,0.22087586392666175,0.3181546711262224,NA
P27616,ADE1,genotype (per nutrient),C,samplingTime:genotypeWT,-0.01424404586211813,0.01371139064567221,-1.0388476435549627,0.31127264138554483,0.40925356888011055,NA
P27616,ADE1,genotype (per nutrient),P,samplingTime:genotypeWT,-0.01804428272256657,0.02175148985401744,-0.8295653697134611,0.416576605959758,0.49380175037738466,NA
P80210,ADE12,genotype (per nutrient),C,genotypeWT,-0.4881348502827527,0.374809525075089,-1.3023544430600054,0.2075940938936619,0.30357633372332504,NA
P80210,ADE12,genotype (per nutrient),P,genotypeWT,-0.13501690915544687,0.3918159505142242,-0.3445926817891129,0.7339977447780989,0.6419787512891391,NA
P80210,ADE12,genotype (per nutrient),C,samplingTime,0.02750207863633458,0.01535279635280473,1.7913400272068578,0.08838514697225701,0.15208050257845548,NA
P80210,ADE12,genotype (per nutrient),P,samplingTime,0.0186179861852856,0.01604940668148806,1.1600420224107242,0.2596930130283395,0.3581008845107761,NA
P80210,ADE12,genotype (per nutrient),C,samplingTime:genotypeWT,-0.01408713958033566,0.02171213282248863,-0.6488141766406622,0.5238394488047692,0.5610534938132976,NA
P80210,ADE12,genotype (per nutrient),P,samplingTime:genotypeWT,-0.01359479749328732,0.02269728859700178,-0.5989613003855948,0.5559230303980383,0.5783587739241173,NA
