Protein IDs,Gene names,C_WT_module,C_WT_module_description,C_rim15_module,C_rim15_module_description,P_WT_module,P_WT_module_description,P_rim15_module,P_rim15_module_description
P33204,ARC19,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,NA,NA,blue,Upregulated during phosphorus starvation (sustained)
P53731,ARC35,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA,NA,NA
P11076,ARF1,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
P22768,ARG1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P04076,ARG4,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
Q01217,"ARG5,6",NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
Q04728,ARG7,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,blue,Upregulated during phosphorus starvation (sustained)
P38116,ARL1,blue,Downregulated during carbon starvation,NA,NA,NA,NA,NA,NA
P08566,ARO1,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,blue,Upregulated during phosphorus starvation (sustained)
P28777,ARO2,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P14843,ARO3,turquoise,Upregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation,blue,Upregulated during phosphorus starvation (sustained)
P32449,ARO4,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,blue,Upregulated during phosphorus starvation (sustained)
P32178,ARO7,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
