Protein IDs,Gene names,C_WT_module,C_WT_module_description,C_rim15_module,C_rim15_module_description,P_WT_module,P_WT_module_description,P_rim15_module,P_rim15_module_description
P0CX40;P0CX39,RPS8B,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P05755,RPS9B,turquoise,Upregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P33299,RPT1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P40327,RPT2,blue,Downregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P33298,RPT3,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P53549,RPT4,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation
P33297,RPT5,NA,NA,unassigned,No coherent co-expression pattern,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
Q01939,RPT6,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
Q12532,RQC2,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
Q04225,RRB1,unassigned,No coherent co-expression pattern,NA,NA,turquoise,Downregulated during phosphorus starvation,NA,NA
Q12754,RRP12,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P38792,RRP4,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,NA,NA
Q05022,RRP5,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
Q07979,RSC58,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,NA,NA
P25632,RSC6,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P43609,RSC8,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
Q03124,RSC9,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P39940,RSP5,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P38804,RTC3,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P32608,RTG2,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
Q04947,RTN1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P38903,RTS1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
Q12464,RVB2,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,NA,NA
P25343,RVS161,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
P39743,RVS167,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P32368,SAC1,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,brown,Transiently upregulated early in phosphorus starvation
P32599,SAC6,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,brown,Transiently upregulated early in phosphorus starvation
P39954,SAH1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P10659,SAM1,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P19358,SAM2,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
Q08985;Q04898,SAM4,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P20606,SAR1,unassigned,No coherent co-expression pattern,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P28707,SBA1,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA,NA,NA
P10080,SBP1,NA,NA,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation
P45978,SCD6,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P21243,SCL1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,NA,NA,brown,Transiently upregulated early in phosphorus starvation
P06105,SCP160,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P40075,SCS2,NA,NA,NA,NA,NA,NA,brown,Transiently upregulated early in phosphorus starvation
P53334,SCW4,NA,NA,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained)
Q00711,SDH1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P21801,SDH2,turquoise,Upregulated during carbon starvation,blue,Downregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P36047,SDS22,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
Q04491,SEC13,blue,Downregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P24280,SEC14,turquoise,Upregulated during carbon starvation,blue,Downregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P32602,SEC17,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
P18759,SEC18,blue,Downregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P32074,SEC21,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation
P15303,SEC23,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P40482,SEC24,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P41810,SEC26,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,brown,Transiently upregulated early in phosphorus starvation
P41811,SEC27,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P40509,SEC28,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P38968,SEC31,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P07560,SEC4,unassigned,No coherent co-expression pattern,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
P07283,SEC53,turquoise,Upregulated during carbon starvation,blue,Downregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P14906,SEC63,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,brown,Transiently upregulated early in phosphorus starvation
P29478,SEC65,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P11075,SEC7,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation
P33330,SER1,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P40510,SER33,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P07284,SES1,turquoise,Upregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P32771,SFA1,NA,NA,NA,NA,NA,NA,unassigned,No coherent co-expression pattern
Q12314,SFM1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
Q12118,SGT2,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation
P36136,SHB17,turquoise,Upregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P37292,SHM1,turquoise,Upregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P37291,SHM2,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P34223,SHP1,blue,Downregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P25294,SIS1,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,blue,Upregulated during phosphorus starvation (sustained)
P20604,SIT4,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P32790,SLA1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P33338,SLA2,NA,NA,NA,NA,NA,NA,brown,Transiently upregulated early in phosphorus starvation
P33333,SLC1,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA,NA,NA
Q00772,SLT2,NA,NA,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation
P39929,SNF7,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P39990,SNU13,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,blue,Upregulated during phosphorus starvation (sustained)
P00445,SOD1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),turquoise,Downregulated during phosphorus starvation
P00447,SOD2,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P37262,SOL2,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P38858,SOL3,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
Q12074,SPE3,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P39986,SPF1,turquoise,Upregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
Q06505,SPN1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P32558,SPT16,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P27692,SPT5,NA,NA,unassigned,No coherent co-expression pattern,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P23615,SPT6,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P25567,SRO9,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
Q02821,SRP1,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P38687,SRP68,unassigned,No coherent co-expression pattern,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation
P38688,SRP72,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P17555,SRV2,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P10591,SSA1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P10592,SSA2,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P11484,SSB1,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P40150,SSB2,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P0CS90,SSC1,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P24276,SSD1,turquoise,Upregulated during carbon starvation,brown,Downregulated during carbon starvation (secondary cluster),brown,Transiently upregulated early in phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P32589,SSE1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P39926,SSO2,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P38788,SSZ1,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
Q06010,STE23,NA,NA,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation
P47154,STE24,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation
P32597,STH1,NA,NA,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation
P15705,STI1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P39015,STM1,turquoise,Upregulated during carbon starvation,blue,Downregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P39007,STT3,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P54000,SUB1,NA,NA,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation
Q07478,SUB2,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P32911,SUI1,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P20459,SUI2,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P09064,SUI3,turquoise,Upregulated during carbon starvation,unassigned,No coherent co-expression pattern,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P05453,SUP35,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P12385,SUP45,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
Q05515,SVF1,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
Q03088,SVL3,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation
Q04175,SXM1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P25623,SYP1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),NA,NA
P35189,TAF14,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P15019,TAL1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
Q12466,TCB1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,NA,NA,blue,Upregulated during phosphorus starvation (sustained)
Q03640,TCB3,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,NA,NA,brown,Transiently upregulated early in phosphorus starvation
P12612,TCP1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P00360,TDH1,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P00358,TDH2,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,blue,Upregulated during phosphorus starvation (sustained)
P00359,TDH3,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P02994,TEF1,turquoise,Upregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P36008,TEF4,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
