orf,gene,log2FC_thisStudy,paulo_pvalue,log2FC_Paulo,paulo_category
YDR293C,SSD1,0.3147888930740504,NA,NA,detected_only
YOR347C,PYK2,0.31445176074356296,NA,NA,detected_only
YPR148C,YPR148C,0.31185748016953807,NA,NA,detected_only
YDR368W,YPR1,0.30904140642006994,NA,NA,detected_only
YEL013W,VAC8,0.3088245305201227,NA,NA,detected_only
YNL131W,TOM22,0.30517780394782046,NA,NA,detected_only
YDL160C,DHH1,-0.30421840419595747,NA,NA,detected_only
YPL169C,MEX67,-0.3016021100992424,NA,NA,detected_only
YOL090W,MSH2,-0.3002584715025939,NA,NA,detected_only
YDL226C,GCS1,-0.2991346500802262,NA,NA,detected_only
YKL182W,FAS1,-0.299116272304262,NA,NA,detected_only
YBL056W,PTC3,0.2988006640125929,NA,NA,detected_only
YGR167W,CLC1,0.29784140782892227,NA,NA,detected_only
YBL036C,NA,0.29715901165240266,NA,NA,detected_only
YLR089C,ALT1,0.29354037136023997,NA,NA,detected_only
YDR101C,ARX1,-0.2909649636681163,NA,NA,detected_only
YPR074C,TKL1,-0.29075862877435144,NA,NA,detected_only
YML085C,TUB1,0.2893040252051234,NA,NA,detected_only
YHL007C,STE20,0.2891792676356273,NA,NA,detected_only
YER094C,PUP3,0.2888938173753695,NA,NA,detected_only
YDR427W,RPN9,0.28816136049483676,NA,NA,detected_only
YMR092C,AIP1,0.28732402261285545,NA,NA,detected_only
YDR145W,TAF12,-0.2871035800220699,NA,NA,detected_only
YHR208W,BAT1,0.2862948250456301,NA,NA,detected_only
YMR079W,SEC14,-0.28453168519926714,NA,NA,detected_only
YMR083W,ADH3,0.28162706830806333,NA,NA,detected_only
YOR197W,MCA1,-0.2814800698742475,NA,NA,detected_only
YLR172C,DPH5,-0.2810922579462912,NA,NA,detected_only
YHR163W,SOL3,0.2771151223343276,NA,NA,detected_only
YML094W,GIM5,-0.2763952372810459,NA,NA,detected_only
YIR034C,LYS1,0.27613305407843386,NA,NA,detected_only
YER057C,HMF1,0.2752252768494953,NA,NA,detected_only
YOR027W,STI1,0.27499825007187084,NA,NA,detected_only
YGR200C,ELP2,0.27345677527948786,NA,NA,detected_only
YKL196C,YKT6,-0.27295218441821506,NA,NA,detected_only
YGR180C,RNR4,0.2723242294226651,NA,NA,detected_only
